annex,entry_seq,ref_no,ref_inferred,status,amended_by,mid_amendments,pages,chemical_name,colour_index,inci_name,cas,ec,colour,product_type,max_concentration,other,wording,needs_review
VI,1,1,0,deleted,▼M1,,429,,,,,,,,,,,0
VI,2,2,0,active,▼B,,429,"N,N,N-Trimethyl-4-(2-
oxoborn-3-ylidenemethyl) anilinium
methyl sulfate",,Camphor Benzalkonium Methosulfate,52793-97-2,258-190-8,,,6 %,,,0
VI,3,3,0,active,▼M47,,429,"Benzoic acid, 2-
hydroxy-, 3,3,5-
trimethylcyclohexyl
ester/Homosalate (8)",,Homosalate,118-56-9,204-260-8,,"Face products
with the
exception of
propellent
spray products","7,34 %",,,0
VI,4,4,0,active,▼M44,,"429,430","2-Hydroxy-4-methoxy-
benzophenone/
Oxybenzone (6)",,Benzophenone-3,131-57-7,205-031-5,,"a) Face
products,
hand
products,
and lip
products,
excluding
propellant
and pump
spray
products
b) Body
products,
including
propellant
and pump
spray
products
c) Other
products","a) 6 %
b) 2,2 %
c) 0,5 %","For a) and b) Not more than 0,5 %
to protect product formulation
a) If used at 0,5 % to protect
product formulation, the levels
used as UV filter must not exceed
5,5 %.
b) If used at 0,5 % to protect
product formulation, the levels
used as UV filter must not exceed
1,7 %.","For a) and b):
Contains Benzophenone-3 (1)",0
VI,5,5,0,moved_or_deleted,▼B,,430,Moved or deleted,,,,,,,,,,0
VI,6,6,0,active,▼B,,430,"2-Phenylbenzimidazole-
5-sulfonic acid and its
potassium, sodium and
triethanolamine salts/
Ensulizole",,"Phenylbenzimidazole
Sulfonic Acid",27503-81-7,248-502-0,,,8 %(as acid),,,0
VI,7,7,0,active,▼B,,430,"3,3'-(1,4-Phenylenedimethylene) bis(7, 7-
dimethyl-2-oxobicyclo-
[2.2.1]hept-1-yl-
methanesulfonic acid)
and its salts/Ecamsule",,"Terephthalylidene
Dicamphor Sulfonic
Acid","92761-26-7,
90457-82-2",410-960-6,,,10 %(as acid),,,1
VI,8,8,0,active,▼B,,431,"1-(4-tert-Butylphenyl)-
3-(4-methoxyphenyl)
propane-1,3-dione/
Avobenzone",,Butyl Methoxydibenzoylmethane,70356-09-1,274-581-6,,,5 %,,,0
VI,9,9,0,active,▼B,,431,"alpha-(2-Oxoborn-3-
ylidene)-toluene-4-
sulphonic acid and its
salts",,"Benzylidene Camphor
Sulfonic Acid",56039-58-8,,,,6 % (as acid),,,0
VI,10,10,0,active,▼M44,,431,"2-Cyano-3,3-diphenyl
acrylic acid, 2-
ethylhexyl ester/Octocrylene (6) (7)",,Octocrylene,6197-30-4,228-250-8,,"a) Propellant
spray
products
b) Other
products","a) 9 %
b) 10 %",,,0
VI,11,11,0,active,▼B,,431,"Polymer of N-{(2 and
4)-[(2-oxoborn-3-
ylidene)methyl]benzyl}
acrylamide",,"Polyacrylamidomethyl
Benzylidene Camphor",113783-61-2,,,,6 %,,,0
VI,12,12,0,active,▼B,,431,"2-Ethylhexyl 4-
methoxycinnamate/
Octinoxate",,Ethylhexyl Methoxycinnamate,5466-77-3,226-775-7,,,10 %,,,0
VI,13,13,0,active,▼B,,431,"Ethoxylated ethyl-4-
aminobenzoate",,PEG-25 PABA,116242-27-4,,,,10 %,,,0
VI,14,14,0,active,▼B,,431,Isopentyl-4-methoxycinnamate/Amiloxate,,Isoamyl p-Methoxycinnamate,71617-10-2,275-702-5,,,10 %,,,0
VI,15,15,0,active,▼B,,431,"2,4,6-Trianilino-(p-
carbo-2'-ethylhexyl-1'-
oxy)-1,3,5-triazine",,Ethylhexyl Triazone,88122-99-0,402-070-1,,,5 %,,,0
VI,16,16,0,active,▼B,,432,"Phenol,2-(2H-benzotriazol-2-yl)-4-methyl-6-
(2-methyl-3-(1,3,3,3-
tetramethyl-1-(trimethylsilyl)oxy)-
disiloxanyl)propyl)",,"Drometrizole
Trisiloxane",155633-54-8,,,,15 %,,,0
VI,17,17,0,active,▼B,,432,"Benzoic acid, 4,4-((6-
((4-(((1,1-dimethylethyl)amino)carbonyl)
phenyl)amino)-1,3,5-
triazine-2,4-diyl)
diimino)bis-, bis (2-
ethylhexyl) ester/Iscotrizinol (USAN)",,"Diethylhexyl Butamido
Triazone",154702-15-5,,,,10 %,,,0
VI,18,18-19,1,deleted,▼M51,,432,,,,,,,,,,,0
VI,19,19,1,deleted,▼M10,,432,,,,,,,,,,,0
VI,20,20,0,active,▼B,,432,"2-Ethylhexyl salicylate/
Octisalate",,Ethylhexyl Salicylate,118-60-5,204-263-4,,,5 %,,,0
